Name,Tags
The soul codes - Logo,"Graphic design, Logo, Social media"
Linn Plakat - event app,"Mobile app, UX/UI, iOS app"
Elara jewellery website,"E-commerce, UX/UI, Website Design"
EduFlex-Code8 Hackathon,"Dashboard, Mobile app, UX/UI"
MoreMoneyMoreLove (Email Newsletter),"E-commerce, Graphic design"
Experimental Poster Design,"Graphic design, Midjourney"
Future Lab Merchandise,Branding
Typographic Poster Designs,Graphic design
Firstmovr x Colgate-Palmolive,"AI Generation, Branding, Social media"
Onsual,"UX/UI, Website Design, iOS app"
CuriVerse,"Application design, Mobile app, UX/UI"
Finance app,"Application design, UX/UI"
Spin Records - Vinyl Website,"Graphic design, Website Design"
Social Media Projects,"Branding, Social media"
